resuming from observation id 58,100,202 (1,506,000 rows kept)
6,341,161 annotated observations in bbox

  29,200/6,341,161 scanned, 1,535,200 kept, pace 1.05s, 0 throttled
  29,400/6,341,161 scanned, 1,535,400 kept, pace 1.05s, 0 throttled
  29,600/6,341,161 scanned, 1,535,600 kept, pace 1.05s, 0 throttled
  29,800/6,341,161 scanned, 1,535,800 kept, pace 1.05s, 0 throttled
  30,000/6,341,161 scanned, 1,536,000 kept, pace 1.05s, 0 throttled
  30,200/6,341,161 scanned, 1,536,200 kept, pace 1.05s, 0 throttled
  30,400/6,341,161 scanned, 1,536,400 kept, pace 1.05s, 0 throttled
  30,600/6,341,161 scanned, 1,536,600 kept, pace 1.05s, 0 throttled
  30,800/6,341,161 scanned, 1,536,800 kept, pace 1.05s, 0 throttled
  31,000/6,341,161 scanned, 1,537,000 kept, pace 1.05s, 0 throttled
  31,200/6,341,161 scanned, 1,537,200 kept, pace 1.05s, 0 throttled
  31,400/6,341,161 scanned, 1,537,400 kept, pace 1.05s, 0 throttled
  31,600/6,341,161 scanned, 1,537,600 kept, pace 1.05s, 0 throttled
  31,800/6,341,161 scanned, 1,537,800 kept, pace 1.05s, 0 throttled
  32,000/6,341,161 scanned, 1,538,000 kept, pace 1.05s, 0 throttled
  32,200/6,341,161 scanned, 1,538,200 kept, pace 1.05s, 0 throttled
  32,400/6,341,161 scanned, 1,538,400 kept, pace 1.05s, 0 throttled
  32,600/6,341,161 scanned, 1,538,600 kept, pace 1.05s, 0 throttled
  32,800/6,341,161 scanned, 1,538,800 kept, pace 1.05s, 0 throttled
  33,000/6,341,161 scanned, 1,539,000 kept, pace 1.05s, 0 throttled
  33,200/6,341,161 scanned, 1,539,200 kept, pace 1.05s, 0 throttled
  33,400/6,341,161 scanned, 1,539,400 kept, pace 1.05s, 0 throttled
  33,600/6,341,161 scanned, 1,539,600 kept, pace 1.05s, 0 throttled
  33,800/6,341,161 scanned, 1,539,800 kept, pace 1.05s, 0 throttled
  34,000/6,341,161 scanned, 1,540,000 kept, pace 1.05s, 0 throttled
  34,200/6,341,161 scanned, 1,540,200 kept, pace 1.05s, 0 throttled
  34,400/6,341,161 scanned, 1,540,400 kept, pace 1.05s, 0 throttled
  34,600/6,341,161 scanned, 1,540,600 kept, pace 1.05s, 0 throttled
  34,800/6,341,161 scanned, 1,540,800 kept, pace 1.05s, 0 throttled
  35,000/6,341,161 scanned, 1,541,000 kept, pace 1.05s, 0 throttled
  35,200/6,341,161 scanned, 1,541,200 kept, pace 1.05s, 0 throttled
  35,400/6,341,161 scanned, 1,541,400 kept, pace 1.05s, 0 throttled
  35,600/6,341,161 scanned, 1,541,600 kept, pace 1.05s, 0 throttled
  35,800/6,341,161 scanned, 1,541,800 kept, pace 1.05s, 0 throttled
  36,000/6,341,161 scanned, 1,542,000 kept, pace 1.05s, 0 throttled
  36,200/6,341,161 scanned, 1,542,200 kept, pace 1.05s, 0 throttled
  36,400/6,341,161 scanned, 1,542,400 kept, pace 1.05s, 0 throttled
  36,600/6,341,161 scanned, 1,542,600 kept, pace 1.05s, 0 throttled
  36,800/6,341,161 scanned, 1,542,800 kept, pace 1.05s, 0 throttled
  37,000/6,341,161 scanned, 1,543,000 kept, pace 1.05s, 0 throttled
  37,200/6,341,161 scanned, 1,543,200 kept, pace 1.05s, 0 throttled
  37,400/6,341,161 scanned, 1,543,400 kept, pace 1.05s, 0 throttled
  37,600/6,341,161 scanned, 1,543,600 kept, pace 1.05s, 0 throttled
  37,800/6,341,161 scanned, 1,543,800 kept, pace 1.05s, 0 throttled
  38,000/6,341,161 scanned, 1,544,000 kept, pace 1.05s, 0 throttled
  38,200/6,341,161 scanned, 1,544,200 kept, pace 1.05s, 0 throttled
  38,400/6,341,161 scanned, 1,544,400 kept, pace 1.05s, 0 throttled
  38,600/6,341,161 scanned, 1,544,600 kept, pace 1.05s, 0 throttled
  38,800/6,341,161 scanned, 1,544,800 kept, pace 1.05s, 0 throttled
  39,000/6,341,161 scanned, 1,545,000 kept, pace 1.05s, 0 throttled
  39,200/6,341,161 scanned, 1,545,200 kept, pace 1.05s, 0 throttled
  39,400/6,341,161 scanned, 1,545,400 kept, pace 1.05s, 0 throttled
  39,600/6,341,161 scanned, 1,545,600 kept, pace 1.05s, 0 throttled
  39,800/6,341,161 scanned, 1,545,800 kept, pace 1.05s, 0 throttled
  40,000/6,341,161 scanned, 1,546,000 kept, pace 1.05s, 0 throttled
  40,200/6,341,161 scanned, 1,546,200 kept, pace 1.05s, 0 throttled
